"Date","Price","Open","High","Low","Vol.","Change %"
"12/08/2024","89,825.2","87,574.3","90,900.1","82,796.8","0.20K","2.56%"
"12/01/2024","87,582.4","85,064.5","91,058.7","81,354.8","0.36K","2.95%"
"11/24/2024","85,073.5","86,693.4","87,885.8","79,877.4","0.36K","-1.89%"
"11/17/2024","86,713.3","80,352.7","88,600.0","77,837.0","0.46K","7.92%"
"11/10/2024","80,352.7","67,208.2","82,000.0","67,016.1","0.68K","19.56%"
"11/03/2024","67,208.1","60,294.4","67,567.6","57,820.8","0.39K","11.60%"
"10/27/2024","60,220.4","58,195.6","63,600.0","58,078.5","0.21K","3.46%"
"10/20/2024","58,205.4","59,036.0","59,989.0","56,427.3","0.20K","-1.38%"
"10/13/2024","59,022.3","54,095.9","59,695.3","53,100.0","0.19K","9.11%"
"10/06/2024","54,093.7","53,185.2","55,061.0","50,517.4","0.28K","1.82%"
"09/29/2024","53,126.6","55,467.9","55,648.0","50,975.9","0.13K","-4.20%"
"09/22/2024","55,456.0","53,883.8","56,037.7","53,050.0","0.12K","2.87%"
"09/15/2024","53,907.7","50,923.7","54,267.6","48,641.9","0.20K","5.86%"
"09/08/2024","50,923.7","45,676.3","51,447.3","45,214.4","0.24K","11.58%"
"09/01/2024","45,636.8","50,180.0","50,903.3","44,417.8","0.17K","-9.05%"
"08/25/2024","50,180.0","54,271.7","54,961.8","48,854.2","0.14K","-7.54%"
"08/18/2024","54,271.7","51,581.2","54,966.5","50,151.4","0.17K","5.37%"
"08/11/2024","51,503.8","52,762.5","53,530.9","49,142.5","0.22K","-2.39%"
"08/04/2024","52,762.5","52,076.1","54,365.0","41,743.6","0.88K","1.22%"
"07/28/2024","52,124.1","59,979.7","61,962.6","51,414.1","0.13K","-13.03%"
"07/21/2024","59,936.3","59,656.1","61,121.0","55,928.8","0.13K","0.51%"
"07/14/2024","59,631.5","53,003.8","60,046.2","53,003.8","0.18K","12.50%"
"07/07/2024","53,003.8","52,394.3","53,492.0","48,761.1","0.13K","1.16%"
"06/30/2024","52,394.3","54,835.2","57,625.4","48,301.0","0.29K","-4.45%"
"06/23/2024","54,835.2","57,325.1","57,518.1","52,353.9","0.12K","-4.34%"
"06/16/2024","57,325.1","58,997.9","59,735.6","56,697.4","0.22K","-2.84%"
"06/09/2024","58,997.9","62,411.0","62,930.3","58,050.0","0.13K","-5.47%"
"06/02/2024","62,411.0","61,153.7","64,164.4","60,803.9","0.19K","2.06%"
"05/26/2024","61,153.7","63,432.5","64,400.0","60,275.2","0.08K","-3.59%"
"05/19/2024","63,432.5","60,867.6","65,000.0","60,017.2","0.15K","4.21%"
"05/12/2024","60,867.6","55,216.9","61,273.7","55,045.1","0.18K","10.23%"
"05/05/2024","55,216.9","57,881.5","59,100.0","54,676.4","0.16K","-4.60%"
"04/28/2024","57,881.5","57,983.7","58,775.5","52,050.0","0.32K","-0.18%"
"04/21/2024","57,983.7","59,199.1","61,290.4","57,108.0","0.16K","-2.06%"
"04/14/2024","59,205.8","59,385.1","61,225.6","54,000.0","0.27K","-0.30%"
